number	title	artist	lyrics
06549	SÃO PAULO	365	Tem dias que eu digo não invento no meu
19807	MORE THAN THIS	10000 Maniacs	I could feel at the time
04920	I'M NOT IN LOVE	10cc	I'm not in love so don't forget it
01039	BOLA DE MEIA BOLA DE GUDE	14 Bis	Há um menino há um moleque
03755	LINDA JUVENTUDE	14 Bis	Zabelê, zumbi, besouro vespa fabricando
07392	NATURAL	14 Bis	Penso em você no seu jeito de
06074	PLANETA SONHO	14 Bis	Aqui ninguém mais ficará de...
07693	ROMANCE	14 Bis	Flores simples enfeitando a mesa do café
06197	TODO AZUL DO MAR	14 Bis	Foi assim como ver o mar a ...
09556	UMA VELHA CANÇÃO ROCK'N'ROLL	14 Bis	Olhe oh oh oh venha solte seu corpo no mundo
09033	HERE WITHOUT YOU	3 Doors Down	A hundred days had made me older
20379	THE KILL (BURY ME)	30 Seconds To Mars	What if I wanted to break
02578	SPACEMAN	4 Non Blondes	Starry night bring me down
09072	WHAT'S UP	4 Non Blondes	Twenty-five years and my life is still
15225	EM PAZ	5 a Seco - Maria Gadú	Caiu do céu se revelou anjo da noite e das manhãs
19852	SHE LOOKS SO PERFECT	5 Seconds Of Summer	He-ey e-hey... Simmer down simmer down
09092	AQUARIUS	5th Dimension (The)	When the moon is in the seventh house and
15450	CANÇÃO PRA NÃO VOLTAR	A Banda Mais Bonita da Cidade	Não volte pra casa meu amor que aqui é
02748	ORAÇÃO	A Banda Mais Bonita da Cidade	Meu amor essa é a última oração
06402	ABRI A PORTA	A Cor do Som	Abri a porta apareci a mais bonita sorriu pra
07175	MENINO DEUS	A Cor do Som	Menino Deus um corpo azul-dourado
15200	VIVA	A Cor do Som	Viva a alegria e viva o prazer
07480	ZANZIBAR	A Cor do Som	No azul de Jezebel no céu de Calcutá
04938	MAMMA MIA	A Teens	I've being cheated by you since I don't
04970	SUPER TROUPER	A Teens	Super trouper beams are gonna blind me
07548	SER CRIANCA É BOM	A Turma da Mônica	Ser criança é bom ser criança ...
05608	ESTAMOS AQUI	A Vigília	Estamos aqui Na casa de Deus
05614	JEOVÁ É O TEU CAVALEIRO	A Vigília	Jeová é o teu cavaleiro que cavalga
05617	JESUS TE ENTRONIZAMOS	A Vigília	\"Jesus nesta noite construímos
05636	RENOVA-ME	A Vigília	Renova-me Senhor Jesus já não quero s
09574	A COR DA ESPERANÇA	A Zorra	Sei está nos seus olhos é só olhar está
04877	CHIQUITITA	Abba	Chiquitita tell me what's wrong you're
04574	DANCING QUEEN	Abba	Yeh! you can dance you can jive
20411	DON`T SHUT ME DOWN	Abba	A while ago I heard the sound of children`s
19333	FERNANDO	Abba	Can you hear the drums Fernando
09116	I HAVE A DREAM	Abba	I have a dream a song to sing
19768	KNOWING ME KNOWING YOU	Abba	No more carefree laughter
20455	LAY ALL YOUR LOVE ON ME	Abba	I wasn´t jealous before we met
02533	MAMMA MIA	Abba	I've been cheated by you since I don't
04787	THE WINNER TAKES IT ALL	Abba	I don't wanna talk
01804	AS CRIANÇAS E OS ANIMAIS	Abelhudos	Ê ô ê ô...P de pato G de ...
15049	CORAÇÃO INDECISO	Abílio Farias	Um coração indeciso busquei no céu um
15130	O GENRO ODIADO	Abílio Farias	Desculpa mulher resolvi mil desculpas pedir
01790	VOU FECHAR O CABARÉ	Abílio Farias	Esperei tanto que cerveja ....
06355	SÓ A LUA	Absyntho	Lembro que ela disse meio triste
05870	BACK IN BLACK	AC-DC	Back in black I hit the sack I've been too long
19696	FOR THOSE ABOUT TO ROCK (WE SALUTE YOU)	AC-DC	We roll tonight to the guitar bite
02606	HIGHWAY TO HELL	AC-DC	Livin' easy lovin' free
20370	YOU SHOOK ME ALL NIGHT LONG	AC-DC	She was a fast machine she kept her motor
04857	ALL THAT SHE WANTS	Ace of Base	She leads a lonely life mmm she leads a
19687	BEAUTIFUL LIFE	Ace of Base	You can do what you want just seize the day
19568	DON'T TURN AROUND	Ace of Base	Don't tell me that you wanna leave
09221	HAPPY NATION	Ace of Base	Laudate omnes gentes laudate
19795	THE SIGN	Ace of Base	I I got a new life
01710	QUE SE DANE O MUNDO	Adair Cardoso	E que se dane o mundo e que se dane
03726	SEPARAÇÃO	Adalberto e Adriano	Qual terá sido o motivo da nossa separação
20091	ALL I ASK	Adele	I will leave my heart at the door
02603	CHASING PAVEMENTS	Adele	I've made up my mind
20253	COLD SHOULDER	Adele	You say it s all in my head
20436	EASY ON ME	Adele	There ain´t no gold in this river
19362	HELLO	Adele	Hello it's me ...
19741	MAKE YOU FEEL MY LOVE	Adele	When the rain is blowing in your face
19534	ONE AND ONLY	Adele	You've been on my mind
02569	ROLLING IN THE DEEP	Adele	There's a fire starting in my heart
19493	SEND MY LOVE (TO YOUR NEW LOVER)	Adele	This was all you none of it me put your hands all
02627	SET FIRE TO THE RAIN	Adele	I let it fall my heart and as I fell
19068	SKYFALL	Adele	This is the end hold your breath and count
02600	SOMEONE LIKE YOU	Adele	I heard that you're settled down
20039	TURNING TABLES	Adele	Close enough to start a war
19678	WATER UNDER THE BRIDGE	Adele	If you're not the one for me
19404	WHEN WE WERE YOUNG	Adele	Everybody loves the things you...
02986	NOSSO GENERAL	Adhemar de Campos (Comunidade da Graça)	Pelo Senhor marchamos sim o Seu
06982	SONHAR CONTIGO	Adílson Ramos	Sonhar contigo por toda vida
16322	APAGA O FOGO MANÉ	Adoniran Barbosa	Inez saiu dizendo que ia comprar um pavio
07062	AS MARIPOSAS	Adoniran Barbosa	As mariposa quando chega o ...
07782	FAZ CHOVER	Adoração e Adoradores	Assim como a corsa anseia por águas
07887	VIM PARA ADORAR-TE	Adoração e Adoradores	Luz do mundo vieste à terra pra que eu
19726	CLASSIC	Adrian Gurvitz	Got to write a classic
09466	I LOVE YOU BABY	Adriana	Difícil é viver sem teu amor eu era tão feliz
01581	CANÇÃO DE NOVELA	Adriana Calcanhoto	Toalha molhada lâmpada acesa cidade
06126	DEVOLVA-ME	Adriana Calcanhoto	Rasgue as minhas cartas e ...
16605	ERA PRA SER	Adriana Calcanhoto	Era pra ser cancao de amor
09450	ESQUADROS	Adriana Calcanhoto	Eu ando pelo mundo prestando atenção
06822	FICO ASSIM SEM VOCÊ	Adriana Calcanhoto	Avião sem asa fogueira sem ...
06573	JUSTO AGORA	Adriana Calcanhoto	Eu ouvi dizer que você assim
01297	MARESIA	Adriana Calcanhoto	Meu amor me deixou levou minha
02798	METADE	Adriana Calcanhoto	Eu perco o chão eu não acho ...
09846	MULHER SEM RAZÃO	Adriana Calcanhoto	Saia dessa vida de migalhas desses homens
07648	NAQUELA ESTAÇÃO	Adriana Calcanhoto	Você entrou no trem e eu na estação vendo
07661	OUTRA VEZ	Adriana Calcanhoto	Outra vez sem você outra vez sem amor
07668	PELOS ARES	Adriana Calcanhoto	Não lhe peço nada mas se acaso você
01119	SEU PENSAMENTO	Adriana Calcanhoto	A uma hora dessas por onde estará seu
04138	VAMBORA	Adriana Calcanhoto	Entre por essa porta agora
02408	AMOR PERFEITO	Adriana Marques	O vento sopra e leva a solidão...
06121	AMOR PRA VALER	Adryana e a Rapaziada	Já faz tanto tempo não consigo esquecer
06294	EU TE AMO (AND I LOVE HER)	Adryana e a Rapaziada	Foi tanto que eu te amei e não
06257	FIM DE NOITE	Adryana e a Rapaziada	Você nunca vai me ver sofrer não consegue me
04458	SÓ FALTAVA VOCÊ	Adryana e a Rapaziada	Só faltava você pra completar
06035	TUDO PASSA	Adryana e a Rapaziada	Tudo na vida passa Tudo na ...
03789	E AGORA?	Adryana Ribeiro	E agora como é que eu vou ficar
01490	SAUDADE VEM	Adryana Ribeiro	O que é que você foi fazer ...
03390	SEMPRE SOU EU	Adryana Ribeiro-Luiz Carlos	É... mais uma vez estou chorando
04678	AMAZING	Aerosmith	I get the right ones out the wrong ones in had
19538	ANGEL	Aerosmith	I´m alone yeah I don´t know if
04879	CRAZY	Aerosmith	Come here baby You know you drive me up
